student_id;weekly_self_study_hours;attendance_percentage;class_participation;total_score;grade
72;19.3;98.4;8.5;100.0;A
73;13.7;70.3;4.7;84.5;B
74;19.1;88.6;6.8;100.0;A
75;7.3;43.6;3.3;47.4;D
76;16.9;99.7;6.9;97.5;A
77;20.5;85.3;8.2;90.8;A
78;16.4;98.6;7.2;87.7;A
79;18.2;90.1;8.6;91.7;A
80;5.9;46.4;2.5;54.6;D
81;14.3;75.6;6.4;81.0;B
82;10.1;74.5;5.9;79.5;B
83;25.3;81.6;9.3;100.0;A
84;11.1;67.5;2.9;62.3;C
85;7.8;73.1;4.1;64.9;C
86;17.9;87.0;9.2;93.3;A
87;20.1;96.6;7.7;100.0;A
88;23.8;86.4;9.0;98.4;A
89;7.6;62.0;3.2;69.2;C
90;17.4;92.0;9.7;93.9;A
91;29.1;95.9;7.8;100.0;A
92;18.6;99.0;9.0;100.0;A
93;12.1;75.6;7.3;79.7;B
94;14.2;94.6;8.9;86.6;A
95;18.0;87.5;5.8;72.0;B
96;13.8;72.1;5.9;73.6;B
97;12.3;67.8;5.0;67.3;C
98;11.2;81.5;6.4;73.1;B
99;19.7;82.8;7.2;100.0;A
100;5.7;52.1;4.6;63.9;C
101;14.7;77.3;5.4;72.9;B
102;11.5;73.0;6.2;73.4;B
103;11.1;68.4;3.4;68.1;C
104;29.9;85.5;8.0;86.1;A
105;13.0;69.5;5.8;83.0;B
106;14.7;86.3;6.1;77.7;B
107;22.9;93.0;9.2;100.0;A
108;23.6;82.9;7.6;93.6;A
109;21.9;93.2;9.7;100.0;A
110;21.4;85.3;6.9;100.0;A
111;1.6;39.8;3.2;43.5;D
112;20.3;97.6;9.0;93.8;A
113;12.3;74.8;5.0;78.9;B
114;24.6;81.8;7.5;100.0;A
115;13.3;71.7;4.9;84.2;B
116;16.1;87.7;7.5;100.0;A
117;16.6;90.3;6.5;100.0;A
118;15.5;76.4;5.1;73.2;B
119;14.9;92.2;7.5;100.0;A
120;29.9;99.9;7.2;95.4;A
121;21.0;96.1;8.1;92.1;A
122;14.3;81.1;5.4;76.7;B
123;17.9;89.3;8.1;100.0;A
124;10.2;79.4;4.9;74.1;B
125;12.3;82.7;5.1;74.2;B
126;16.7;97.4;9.8;100.0;A
127;14.7;82.3;7.3;74.0;B
128;13.5;69.1;7.2;72.6;B
129;10.7;80.9;5.3;74.8;B
130;3.1;38.2;2.2;54.7;D
131;4.8;43.6;1.8;50.6;D
132;18.2;90.3;7.2;86.8;A
133;25.4;89.9;8.2;92.6;A
134;14.3;95.0;9.6;97.3;A
135;13.1;77.6;4.8;70.6;B
136;19.9;95.3;8.8;100.0;A
137;16.6;73.1;5.2;81.9;B
138;15.4;71.1;6.1;78.7;B
139;24.0;81.5;7.9;100.0;A
140;2.7;38.9;2.9;54.8;D
141;19.8;88.2;7.0;95.0;A
142;21.4;89.0;6.8;100.0;A
143;5.3;56.4;4.6;58.2;C
144;19.1;96.8;6.7;87.9;A
145;22.2;98.6;9.1;86.2;A
146;22.9;80.1;9.8;86.1;A
147;8.1;69.8;3.3;58.9;C
148;9.7;66.4;4.3;62.3;C
149;22.2;93.1;9.2;100.0;A
150;12.4;69.0;7.3;83.5;B
151;16.4;97.9;9.3;90.2;A
152;14.8;86.3;8.5;94.4;A
153;29.6;81.5;8.1;85.4;A
154;20.1;91.3;7.4;100.0;A
155;23.6;88.3;9.0;100.0;A
156;14.6;93.0;7.1;92.4;A
157;21.0;85.5;7.1;100.0;A
158;13.3;73.1;6.3;79.6;B
159;4.0;50.7;1.1;54.8;D
160;28.0;93.1;8.1;93.2;A
161;10.1;79.2;5.5;72.0;B
162;22.5;82.2;9.5;95.8;A
163;27.6;97.8;8.3;100.0;A
164;17.9;72.5;5.8;75.8;B
165;16.1;84.3;9.7;97.4;A
166;24.4;95.2;9.4;100.0;A
167;25.4;91.9;6.9;100.0;A
168;29.7;97.2;9.6;100.0;A
169;11.3;75.2;4.6;72.2;B
170;10.5;85.5;6.1;72.9;B
171;10.5;57.2;4.3;63.2;C
172;11.4;55.5;4.2;66.2;C
173;14.5;78.9;6.0;75.6;B
174;23.8;94.7;9.6;100.0;A
175;15.1;77.3;6.8;75.5;B
176;16.6;82.7;9.3;89.5;A
177;16.1;99.4;8.8;89.2;A
178;16.4;95.9;7.7;100.0;A
179;25.8;91.5;7.5;92.9;A
180;14.5;80.8;8.8;100.0;A
181;23.6;89.5;7.9;100.0;A
182;11.2;79.4;6.6;84.7;B
183;16.1;81.0;6.3;80.1;B
184;16.6;86.3;7.3;100.0;A
185;10.4;71.9;4.7;75.9;B
186;23.8;89.7;8.4;100.0;A
187;16.2;85.9;8.4;96.5;A
188;17.8;96.3;7.8;97.2;A
189;8.0;58.5;2.9;58.2;C
190;5.6;48.2;2.7;52.2;D
191;17.4;82.3;5.3;70.1;B
192;25.9;89.6;9.2;100.0;A
193;20.6;98.0;8.0;89.0;A
194;6.1;47.2;2.9;44.1;D
195;14.2;72.0;6.3;80.5;B
196;21.8;90.7;8.2;92.5;A
197;12.2;62.6;4.3;65.4;C
198;14.7;86.6;7.1;93.9;A
199;21.4;87.7;8.4;99.8;A
200;4.3;48.9;1.9;53.2;D
201;17.4;83.5;9.1;85.9;A
202;21.2;85.8;7.2;100.0;A
203;28.8;86.6;9.5;100.0;A
204;25.3;82.3;6.6;99.4;A
205;8.1;56.7;2.7;63.0;C
206;17.7;68.1;5.2;70.2;B
207;28.7;91.3;7.1;90.5;A
208;13.4;75.8;7.3;83.7;B
209;24.1;99.7;9.6;98.1;A
210;22.1;92.3;7.3;100.0;A
211;21.9;85.3;7.0;95.5;A
212;23.4;87.4;7.3;100.0;A
213;17.9;99.8;8.7;100.0;A
214;15.6;96.7;9.7;90.2;A
215;24.8;81.6;6.7;87.9;A
216;20.4;87.6;7.7;100.0;A
217;14.8;78.5;6.6;83.0;B
218;19.8;84.1;7.0;97.4;A
219;14.1;78.9;6.5;70.6;B
220;17.8;75.6;6.6;83.7;B
221;17.3;81.6;8.0;100.0;A
222;2.0;51.7;3.3;46.4;D
223;17.1;94.6;9.3;100.0;A
224;9.5;61.7;3.6;63.1;C
225;26.5;92.8;8.1;87.4;A
226;21.5;94.2;8.7;100.0;A
227;7.4;71.1;4.5;65.7;C
228;4.4;33.9;2.9;54.2;D
229;9.1;66.1;3.3;69.5;C
230;22.8;94.1;8.8;100.0;A
231;15.7;71.5;6.0;79.0;B
232;26.5;98.7;9.4;100.0;A
233;17.5;71.2;6.6;81.5;B
234;15.9;91.7;8.1;85.8;A
235;19.4;96.8;9.2;100.0;A
236;28.0;97.6;7.7;100.0;A
237;4.7;36.6;1.7;53.0;D
238;17.4;99.1;9.2;96.0;A
239;10.9;75.6;5.0;81.2;B
240;28.9;96.8;8.0;100.0;A
241;11.8;57.6;4.8;55.0;C
242;11.3;81.5;7.2;81.5;B
243;14.5;83.3;5.2;72.7;B
244;19.9;95.4;8.0;100.0;A
245;8.4;54.1;4.1;55.6;C
246;18.6;88.9;9.3;91.1;A
247;11.5;81.4;5.1;80.0;B
248;12.1;83.3;6.5;71.4;B
249;14.5;85.6;7.1;100.0;A
250;28.6;80.4;6.6;89.5;A
251;16.8;80.4;6.3;74.7;B
252;29.2;86.0;8.3;100.0;A
253;19.7;92.2;8.6;100.0;A
254;25.2;96.8;9.8;94.1;A
255;1.6;52.8;1.5;38.9;E
256;5.1;72.1;4.3;69.5;C
257;28.4;91.8;7.2;100.0;A
258;9.8;58.7;3.1;60.4;C
259;15.3;94.1;9.6;98.1;A
260;16.4;93.1;6.8;100.0;A
261;12.5;86.6;4.8;77.7;B
262;10.9;85.4;5.5;81.2;B
263;11.6;56.8;4.2;57.8;C
264;6.2;69.0;5.4;63.8;C
265;9.6;73.0;2.6;69.4;C
266;10.2;57.5;3.2;68.7;C
267;23.4;82.7;9.7;100.0;A
268;8.5;69.1;3.2;57.2;C
269;8.3;58.4;4.5;69.3;C
270;14.5;81.9;5.8;83.5;B
271;15.5;80.3;8.8;100.0;A
272;11.6;57.7;3.4;69.7;C
273;17.8;88.3;7.8;100.0;A
274;18.9;84.3;9.9;90.1;A
275;17.3;81.0;5.4;78.1;B
276;29.4;95.6;9.4;100.0;A
277;12.3;86.2;6.2;76.2;B
278;6.7;55.1;4.6;69.6;C
279;16.9;72.7;7.2;77.6;B
280;13.4;83.2;5.1;82.4;B
281;14.5;84.8;9.6;89.1;A
282;24.7;82.6;9.5;100.0;A
283;24.4;91.8;8.1;100.0;A
284;4.9;54.9;1.3;43.9;D
285;29.4;99.4;9.7;100.0;A
286;1.8;52.0;2.5;54.5;D
287;9.7;66.4;3.5;62.1;C
288;14.3;96.6;8.2;100.0;A
289;20.8;82.7;6.8;85.6;A
290;15.4;73.0;6.9;80.8;B
291;29.4;98.9;7.9;92.4;A
292;12.2;69.9;7.1;71.6;B
293;10.9;80.0;5.4;74.5;B
294;17.9;94.5;8.4;87.5;A
295;14.5;94.9;6.9;89.9;A
296;15.1;83.2;6.7;80.4;B
297;20.1;87.5;8.5;94.9;A
298;21.1;97.2;9.1;92.6;A
299;28.2;92.3;7.3;95.8;A
300;19.0;93.8;9.0;100.0;A
301;12.2;53.7;3.4;62.9;C
302;11.1;78.3;7.1;81.1;B
303;27.2;80.8;7.9;100.0;A
304;28.2;91.9;9.3;100.0;A
305;26.6;84.4;7.6;87.6;A
306;29.1;95.0;7.0;88.1;A
307;15.8;97.2;9.4;100.0;A
308;12.4;68.5;7.3;77.1;B
309;11.8;73.5;6.4;80.0;B
310;25.7;82.5;7.8;100.0;A
311;17.0;98.3;6.7;90.6;A
312;20.7;89.6;9.9;95.9;A
313;27.1;95.5;7.9;99.6;A
314;26.2;93.9;6.9;100.0;A
315;19.0;99.9;6.7;100.0;A
316;11.4;72.5;5.9;82.2;B
317;26.3;81.4;9.5;100.0;A
318;14.7;74.6;6.9;79.8;B
319;21.5;97.4;9.3;94.6;A
320;16.3;82.3;4.7;84.1;B
321;21.3;93.3;8.3;85.3;A
322;20.7;81.8;8.3;87.2;A
323;11.7;87.4;5.5;80.3;B
324;22.3;89.7;8.8;100.0;A
325;13.6;76.0;5.1;71.6;B
326;14.8;72.3;7.0;75.5;B
327;18.1;84.9;9.5;98.6;A
328;17.7;98.2;9.5;100.0;A
329;29.3;89.3;6.7;100.0;A
330;28.3;91.1;9.7;97.9;A
331;18.1;81.6;8.6;90.5;A
332;3.1;41.1;3.4;41.3;D
333;20.5;81.4;7.7;93.3;A
334;15.2;78.7;6.1;81.3;B
335;20.4;82.8;9.7;100.0;A
336;25.9;84.1;7.1;97.8;A
337;10.2;73.9;4.6;56.7;C
338;12.6;80.5;5.4;81.2;B
339;21.4;97.3;6.8;99.9;A
340;22.7;83.4;8.2;94.6;A
341;16.3;78.7;7.2;72.9;B
342;17.9;73.3;6.8;80.6;B
343;18.9;94.1;7.7;97.0;A
344;25.2;99.3;7.6;89.4;A
345;10.9;80.6;5.7;79.7;B
346;27.9;91.7;8.3;100.0;A
347;5.6;65.1;5.4;59.0;C
348;9.4;63.5;4.5;56.9;C
349;17.1;69.6;5.3;79.9;B
350;23.3;97.8;8.7;91.5;A
351;22.6;96.0;8.1;100.0;A
352;22.8;80.3;8.7;100.0;A
353;20.8;88.6;9.0;87.3;A
354;25.9;92.9;7.1;87.4;A
355;14.5;87.0;8.4;88.3;A
356;12.9;60.3;3.5;68.8;C
357;23.1;81.9;9.4;94.7;A
358;13.4;77.8;6.8;76.4;B
359;21.2;95.0;7.1;100.0;A
360;17.2;86.2;6.5;72.1;B
361;11.3;81.1;7.4;83.7;B
362;27.6;81.4;8.5;100.0;A
363;16.3;82.1;8.7;85.1;A
364;16.2;82.9;8.0;89.5;A
365;22.1;84.8;7.9;95.4;A
366;15.2;79.1;6.2;82.5;B
367;16.6;87.0;6.6;77.5;B
368;17.1;80.8;7.3;89.9;A
369;29.6;96.6;8.4;93.3;A
370;11.5;81.4;4.9;80.0;B
371;27.7;97.1;8.3;96.4;A
372;19.9;80.5;8.1;95.0;A
373;26.6;93.5;9.4;100.0;A
374;18.7;97.5;9.5;100.0;A
375;25.3;92.1;8.4;100.0;A
376;12.4;85.9;6.0;82.4;B
377;19.3;97.5;9.7;92.2;A
378;25.0;98.9;9.4;100.0;A
379;29.4;83.6;7.4;100.0;A
380;5.1;64.3;4.8;60.4;C
381;12.4;86.5;6.6;76.5;B
382;22.2;98.7;6.8;88.7;A
383;1.8;40.1;1.8;33.8;E
384;8.8;64.2;3.9;67.3;C
385;26.2;93.0;9.2;87.6;A
386;24.8;89.0;7.6;92.1;A
387;24.8;80.3;8.6;85.4;A
388;26.0;86.5;9.7;100.0;A
389;29.0;86.6;7.6;100.0;A
390;19.4;88.3;9.2;97.6;A
391;5.2;45.4;1.2;54.1;D
392;23.9;98.0;8.6;85.8;A
393;5.7;59.1;4.1;63.1;C
394;18.9;87.8;7.9;100.0;A
395;20.1;81.5;8.1;100.0;A
396;15.7;80.2;9.6;89.6;A
397;11.3;54.3;5.4;58.6;C
398;19.1;80.2;9.0;100.0;A
399;15.3;73.9;6.3;81.5;B
400;23.9;97.9;8.4;100.0;A
401;10.8;59.6;5.0;67.2;C
402;12.8;53.1;3.1;67.8;C
403;27.6;98.3;10.0;87.4;A
404;21.7;96.6;10.0;90.2;A
405;12.8;52.9;2.6;64.9;C
406;23.0;81.3;9.1;88.6;A
407;10.3;75.2;4.9;81.3;B
408;30.0;98.9;9.3;88.5;A
409;23.7;89.0;9.4;85.6;A
410;24.7;88.0;8.5;91.5;A
411;15.1;82.1;8.9;100.0;A
412;6.4;68.0;2.6;66.4;C
413;7.2;58.7;1.4;54.3;D
414;28.5;92.7;7.5;100.0;A
415;29.2;80.5;8.5;89.6;A
416;26.5;87.4;7.0;89.2;A
417;22.2;88.2;9.1;100.0;A
418;17.0;96.0;8.0;96.3;A
419;29.7;98.9;8.7;100.0;A
420;18.9;90.3;8.6;90.5;A
421;27.6;92.3;7.4;100.0;A
422;24.3;87.7;9.2;100.0;A
423;17.8;86.1;6.2;71.4;B
424;25.8;91.8;7.9;89.8;A
425;16.9;80.9;6.4;81.8;B
426;29.8;88.6;9.1;100.0;A
427;16.9;84.4;5.3;74.1;B
428;28.3;94.5;7.0;100.0;A
429;22.5;98.4;9.2;96.4;A
430;6.2;43.9;1.5;47.0;D
431;6.4;36.4;1.5;46.4;D
432;2.1;45.9;2.2;54.4;D
433;16.9;82.6;5.8;76.0;B
434;26.6;81.4;7.4;97.8;A
435;18.9;98.2;8.7;100.0;A
436;24.5;95.5;7.3;92.8;A
437;22.6;84.5;7.5;100.0;A
438;17.4;74.0;6.7;78.9;B
439;12.7;79.9;5.9;74.0;B
440;14.5;70.9;5.5;75.3;B
441;25.7;81.8;7.5;88.4;A
442;17.9;80.0;7.0;81.0;B
443;6.5;37.9;2.7;45.8;D
444;12.8;71.7;4.6;80.3;B
445;6.9;66.8;4.2;69.6;C
446;23.9;92.9;8.3;98.2;A
447;17.3;82.6;8.4;100.0;A
448;27.4;98.7;8.5;89.5;A
449;5.4;69.5;3.8;66.9;C
450;16.9;73.9;5.6;80.3;B
451;5.2;54.2;3.8;67.3;C
452;29.5;93.8;9.9;100.0;A
453;13.9;79.1;5.9;78.7;B
454;23.2;92.2;6.8;86.2;A
455;14.5;86.2;7.1;71.9;B
456;3.3;51.6;1.7;49.3;D
457;15.4;95.1;9.8;93.4;A
458;9.9;58.9;2.9;55.0;C
459;14.4;78.7;5.3;79.6;B
460;7.9;42.7;1.1;51.9;D
461;16.2;99.6;8.4;100.0;A
462;21.6;94.0;8.0;94.0;A
463;19.4;83.0;6.9;96.2;A
464;13.0;73.8;4.8;77.5;B
465;26.6;95.9;9.9;85.2;A
466;20.8;98.2;7.4;99.2;A
467;19.4;80.7;7.5;92.8;A
468;27.4;83.0;9.8;100.0;A
469;14.9;72.4;7.1;72.3;B
470;12.0;67.3;3.3;65.7;C
471;12.3;66.2;2.8;66.0;C
472;11.0;74.5;4.0;60.0;C
473;5.7;69.0;3.4;63.6;C
474;25.4;94.3;6.8;100.0;A
475;28.8;85.7;8.1;100.0;A
476;16.4;72.9;4.9;82.1;B
477;10.8;87.8;6.4;83.4;B
478;27.1;80.8;6.6;97.2;A
479;25.0;98.2;9.6;100.0;A
480;17.6;88.8;7.4;100.0;A
481;11.0;80.8;7.0;80.2;B
482;14.3;69.3;4.5;78.5;B
483;12.1;65.7;4.9;67.7;C
484;17.8;77.4;7.2;75.5;B
485;17.6;85.4;7.2;74.0;B
486;10.2;59.8;3.6;68.5;C
487;5.1;54.7;3.0;66.9;C
488;28.5;82.3;7.7;87.8;A
489;26.9;93.5;7.8;100.0;A
490;28.6;95.3;9.9;100.0;A
491;17.1;94.9;7.2;88.1;A
492;18.1;83.9;9.7;100.0;A
493;25.5;99.5;9.9;100.0;A
494;29.6;94.0;8.4;85.5;A
495;28.8;85.7;8.9;100.0;A
496;21.2;81.3;9.8;100.0;A
497;10.8;68.5;5.0;72.8;B
498;21.5;98.8;6.5;100.0;A
499;6.3;70.3;5.5;63.5;C
500;15.2;87.4;6.1;72.7;B
501;27.7;88.4;9.8;100.0;A
502;29.0;83.9;9.3;100.0;A
503;12.4;73.6;3.2;69.7;C
504;29.0;92.7;9.0;95.4;A
505;12.1;58.6;5.2;56.8;C
506;10.6;70.9;6.6;75.2;B
507;10.8;73.6;7.3;72.6;B
508;9.4;73.7;3.0;64.6;C
509;14.7;83.8;5.3;72.6;B
510;16.8;87.1;7.3;80.7;B
511;17.5;85.8;8.6;89.4;A
512;16.1;98.8;8.7;91.1;A
513;23.1;98.5;6.9;92.8;A
514;7.9;65.2;4.2;63.2;C
515;16.8;83.7;7.4;80.9;B
516;23.2;92.4;8.2;94.3;A
517;27.4;99.1;7.9;92.6;A
518;12.3;66.9;2.9;65.8;C
519;16.2;98.9;7.2;96.1;A
520;22.8;82.2;8.7;100.0;A
521;11.7;53.6;5.2;66.1;C
522;15.2;88.2;6.8;90.7;A
523;5.6;56.0;4.2;63.3;C
524;21.1;85.2;9.6;100.0;A
525;10.1;60.3;3.1;63.5;C
526;12.2;77.3;6.7;79.1;B
527;7.1;61.4;5.0;63.9;C
528;15.7;83.1;6.5;88.2;A
529;13.0;69.3;5.2;79.1;B
530;11.8;76.1;5.1;70.6;B
531;14.6;94.9;7.2;99.3;A
532;11.2;54.3;4.6;55.1;C
533;12.4;79.8;5.0;81.3;B
534;2.3;51.4;1.7;43.0;D
535;19.3;84.2;9.6;89.0;A
536;10.8;87.0;5.0;78.5;B
537;12.5;73.7;6.9;77.6;B
538;26.7;95.4;8.0;92.0;A
539;15.5;81.6;9.8;100.0;A
540;10.8;76.9;5.0;73.2;B
541;22.5;96.4;6.9;96.5;A
542;12.6;58.5;2.8;62.1;C
543;26.5;90.0;7.3;86.1;A
544;27.3;99.3;9.4;100.0;A
545;5.7;48.1;1.5;37.8;E
546;6.5;67.1;3.0;65.3;C
547;10.9;81.7;6.6;79.8;B
548;23.1;89.1;6.6;100.0;A
549;17.3;84.3;9.3;89.2;A
550;12.8;71.2;7.0;79.8;B
551;16.8;91.4;9.9;100.0;A
552;18.7;86.9;9.7;87.0;A
553;17.0;91.9;9.0;98.9;A
554;22.1;92.3;7.1;98.6;A
555;28.6;95.4;9.9;100.0;A
556;27.9;84.4;9.9;86.5;A
557;17.3;87.8;4.6;76.3;B
558;13.7;87.5;5.2;82.8;B
559;28.7;87.6;9.7;100.0;A
560;21.1;90.1;9.5;100.0;A
561;14.7;84.7;9.7;100.0;A
562;26.7;94.4;6.7;100.0;A
563;15.6;81.8;7.0;72.2;B
564;16.9;80.4;7.6;87.8;A
565;26.2;86.1;6.8;100.0;A
566;15.4;84.0;9.9;100.0;A
567;6.0;55.1;4.7;63.1;C
568;8.7;66.9;4.7;61.8;C
569;7.2;68.9;4.9;58.9;C
570;14.0;76.5;4.7;76.3;B
571;15.5;85.4;6.6;100.0;A
572;28.2;95.5;7.3;100.0;A
573;19.7;80.0;7.9;99.4;A
574;18.9;91.7;9.2;89.0;A
575;12.5;76.3;7.1;83.8;B
576;11.9;67.5;3.9;61.9;C
577;17.4;80.7;6.8;80.1;B
578;24.3;81.9;6.8;95.8;A
579;10.0;63.1;3.7;58.1;C
580;30.0;84.2;6.6;100.0;A
581;19.4;92.4;7.5;86.0;A
582;15.2;92.9;7.7;86.8;A
583;16.7;81.8;7.3;100.0;A
584;22.2;80.1;9.5;100.0;A
585;28.3;87.5;8.3;99.9;A
586;15.6;68.4;4.7;84.2;B
587;14.1;81.1;7.1;80.9;B
588;11.6;78.9;7.0;72.0;B
589;20.4;91.4;7.9;100.0;A
590;10.5;53.1;2.8;65.3;C
591;23.4;80.3;8.6;93.7;A
592;11.1;61.0;4.3;67.8;C
593;29.8;81.2;9.3;91.3;A
594;15.4;76.6;6.4;84.9;B
595;17.7;82.6;7.4;99.3;A
596;7.4;55.6;5.0;67.3;C
597;15.3;92.7;8.9;99.9;A
598;16.1;76.1;6.1;74.1;B
599;17.2;91.0;8.8;100.0;A
600;15.0;88.8;9.7;91.4;A
601;24.9;96.1;8.3;89.6;A
602;11.9;84.7;7.4;76.3;B
603;20.5;95.1;9.6;100.0;A
604;24.2;84.1;8.5;100.0;A
605;28.2;90.2;7.4;100.0;A
606;27.0;92.9;9.4;100.0;A
607;13.2;85.0;5.3;77.4;B
608;4.9;36.3;2.0;52.3;D
609;5.6;40.2;2.7;51.9;D
610;18.5;80.3;8.0;100.0;A
611;26.9;85.1;7.8;100.0;A
612;10.9;76.7;5.6;74.7;B
613;24.4;86.5;8.4;99.1;A
614;17.2;83.3;6.8;70.6;B
615;17.1;90.2;7.0;100.0;A
616;16.5;97.1;7.3;97.6;A
617;19.8;81.6;6.6;96.7;A
618;28.2;89.3;7.3;100.0;A
619;23.7;99.6;7.8;98.9;A
620;21.8;82.7;6.8;93.2;A
621;11.8;71.9;5.5;73.6;B
622;19.0;87.3;9.9;89.7;A
623;23.1;82.1;8.8;100.0;A
624;19.0;91.6;9.2;100.0;A
625;22.9;82.8;8.2;100.0;A
626;18.5;94.7;7.0;91.1;A
627;17.7;72.2;5.4;71.1;B
628;10.8;69.8;3.1;69.3;C
629;16.7;73.4;6.5;80.9;B
630;15.0;88.3;7.5;100.0;A
631;8.3;66.2;4.3;66.2;C
632;14.7;87.7;8.5;100.0;A
633;18.6;91.3;8.8;89.4;A
634;17.6;80.6;7.2;78.3;B
635;11.3;68.0;4.0;67.3;C
636;5.6;55.8;5.3;69.2;C
637;19.7;80.4;7.3;100.0;A
638;26.8;99.4;8.2;89.9;A
639;4.1;36.0;3.5;49.8;D
640;13.3;84.0;4.8;82.7;B
641;12.7;77.2;5.0;82.1;B
642;19.5;83.0;9.7;100.0;A
643;20.7;85.2;7.6;94.7;A
644;10.1;63.0;5.5;65.7;C
645;14.2;71.6;4.7;74.0;B
646;12.9;72.8;5.4;83.8;B
647;3.1;38.0;1.1;44.5;D
648;25.1;90.9;8.8;90.0;A
649;25.6;87.7;7.7;86.9;A
650;20.1;96.0;9.9;93.6;A
651;15.1;82.7;9.7;100.0;A
652;20.5;98.4;6.7;100.0;A
653;16.3;87.6;4.5;75.9;B
654;16.1;78.3;7.0;78.6;B
655;19.5;87.0;7.1;100.0;A
656;17.7;97.8;9.6;97.4;A
657;20.0;98.8;7.2;94.8;A
658;16.7;85.8;8.8;93.2;A
659;19.9;92.2;7.4;92.2;A
660;17.9;73.5;6.6;75.2;B
661;11.2;72.6;4.7;73.4;B
662;14.3;71.1;6.9;81.0;B
663;21.7;80.1;8.6;98.8;A
664;19.2;93.0;7.2;86.1;A
665;14.0;81.9;6.3;84.2;B
666;13.8;77.6;5.6;78.1;B
667;10.0;79.6;6.9;84.4;B
668;17.5;94.0;9.0;100.0;A
669;7.0;53.1;1.5;34.5;E
670;16.4;89.1;6.7;100.0;A
671;28.0;85.3;8.8;97.7;A
672;5.2;43.9;3.1;51.8;D
673;13.2;87.2;7.1;81.9;B
674;18.8;91.7;7.4;87.5;A
675;11.9;79.4;5.8;70.5;B
676;10.1;80.2;7.2;76.2;B
677;10.7;74.9;7.3;74.6;B
678;14.6;100.0;6.7;100.0;A
679;15.7;85.2;8.4;100.0;A
680;18.8;96.2;9.9;100.0;A
681;23.2;92.1;9.8;100.0;A
682;17.3;79.6;7.1;83.2;B
683;28.2;99.6;7.4;94.8;A
684;14.7;93.5;9.3;100.0;A
685;5.8;54.6;1.5;51.6;D
686;20.9;95.1;7.1;100.0;A
687;26.5;87.5;9.8;95.1;A
688;15.3;85.8;7.2;76.5;B
689;17.1;92.3;9.0;100.0;A
690;25.3;83.5;7.9;100.0;A
691;12.1;55.7;4.7;68.5;C
692;17.1;93.8;6.9;100.0;A
693;10.5;71.6;5.0;66.7;C
694;16.6;80.1;9.8;96.8;A
695;22.4;81.2;7.0;100.0;A
696;29.1;96.8;8.7;100.0;A
