student_id;weekly_self_study_hours;attendance_percentage;class_participation;total_score;grade
800095;18.9;86.8;8.7;100.0;A
800096;15.0;79.9;4.6;80.1;B
800097;15.7;91.3;9.6;90.5;A
800098;24.9;85.5;8.2;100.0;A
800099;14.2;87.3;7.3;100.0;A
800100;14.8;70.2;4.8;82.7;B
800101;4.2;48.1;2.2;45.0;D
800102;14.9;82.4;5.3;77.5;B
800103;10.2;80.5;5.9;74.9;B
800104;22.0;89.2;7.3;91.1;A
800105;15.7;96.6;9.0;100.0;A
800106;16.7;81.0;7.9;91.2;A
800107;15.5;79.8;6.2;72.7;B
800108;15.2;93.5;9.3;87.2;A
800109;11.8;81.9;4.9;70.6;B
800110;18.9;90.2;8.4;96.7;A
800111;10.3;86.2;7.1;70.9;B
800112;16.4;90.5;8.9;99.8;A
800113;19.1;87.2;6.6;100.0;A
800114;11.8;68.6;6.5;79.6;B
800115;12.0;87.7;6.6;72.3;B
800116;1.0;59.1;1.2;53.9;D
800117;21.9;87.6;8.4;98.1;A
800118;14.3;76.3;6.0;71.1;B
800119;4.2;43.9;1.6;36.3;F
800120;6.9;55.1;3.9;56.4;C
800121;19.9;99.3;9.5;90.9;A
800122;15.2;87.6;4.6;72.3;B
800123;10.7;84.6;7.1;80.8;B
800124;14.6;83.8;6.4;78.6;B
800125;21.6;95.1;8.1;98.1;A
800126;29.4;95.6;6.6;100.0;A
800127;26.0;99.1;8.2;87.4;A
800128;6.5;71.1;3.2;68.5;C
800129;19.8;98.1;7.0;85.5;A
800130;10.8;65.9;3.8;55.0;C
800131;10.9;57.3;5.3;69.6;C
800132;6.1;53.1;2.5;51.5;D
800133;17.2;86.2;7.4;81.9;B
800134;15.2;71.8;6.7;74.2;B
800135;14.5;75.2;7.1;74.8;B
800136;22.2;91.2;7.5;100.0;A
800137;9.3;52.4;4.9;69.2;C
800138;21.6;84.5;8.9;100.0;A
800139;11.3;84.9;4.9;78.3;B
800140;15.3;77.4;5.7;82.7;B
800141;25.2;82.0;9.6;99.1;A
800142;18.4;97.2;8.8;96.7;A
800143;17.5;70.4;5.6;74.2;B
800144;27.9;94.0;8.5;88.3;A
800145;6.9;58.4;5.0;64.5;C
800146;16.4;74.7;7.1;77.7;B
800147;24.1;87.4;9.4;100.0;A
800148;16.0;69.4;5.6;79.7;B
800149;17.9;80.4;8.1;86.3;A
800150;15.5;81.8;5.7;81.8;B
800151;11.4;71.0;6.5;76.5;B
800152;16.3;96.0;9.7;100.0;A
800153;11.0;71.1;2.6;63.8;C
800154;27.9;87.9;7.4;100.0;A
800155;15.2;69.6;5.3;74.9;B
800156;7.6;33.2;1.4;42.0;D
800157;4.6;44.2;1.1;43.5;D
800158;12.0;73.9;5.9;76.3;B
800159;11.7;54.1;3.7;68.4;C
800160;23.1;92.0;8.0;97.4;A
800161;24.3;87.8;6.9;93.4;A
800162;15.3;80.4;8.4;96.7;A
800163;20.6;91.4;7.6;88.3;A
800164;18.7;88.0;8.7;89.6;A
800165;17.4;84.1;8.5;100.0;A
800166;11.5;73.3;6.9;73.6;B
800167;28.0;84.9;9.6;92.8;A
800168;10.6;63.3;5.5;61.8;C
800169;22.4;80.4;9.6;90.1;A
800170;14.9;71.6;4.9;82.8;B
800171;19.3;95.0;10.0;100.0;A
800172;26.6;84.4;7.4;100.0;A
800173;28.9;93.0;9.2;100.0;A
800174;20.1;83.4;8.2;88.0;A
800175;15.3;99.4;9.8;100.0;A
800176;5.3;48.8;1.2;50.9;D
800177;24.4;95.6;7.3;93.3;A
800178;19.9;95.4;9.9;100.0;A
800179;15.9;83.0;7.2;79.9;B
800180;28.4;92.0;7.5;100.0;A
800181;28.1;92.6;7.0;100.0;A
800182;29.3;82.7;9.9;85.4;A
800183;23.1;85.3;6.7;100.0;A
800184;25.5;84.0;7.6;100.0;A
800185;18.6;94.6;7.2;95.1;A
800186;11.0;82.7;4.9;83.3;B
800187;12.1;77.0;6.7;84.7;B
800188;20.4;80.5;9.9;100.0;A
800189;23.7;87.0;6.9;88.8;A
800190;10.3;86.3;5.5;75.3;B
800191;15.6;69.3;5.4;75.0;B
800192;27.9;80.1;7.5;100.0;A
800193;22.7;93.9;9.2;91.6;A
800194;15.2;98.6;6.6;99.6;A
800195;26.5;99.4;9.6;94.3;A
800196;11.5;84.3;7.4;77.1;B
800197;15.4;85.2;4.6;75.0;B
800198;20.7;91.8;9.5;95.1;A
800199;2.9;48.4;2.5;42.6;D
800200;11.2;74.5;3.0;68.3;C
800201;23.5;95.1;9.3;100.0;A
800202;18.5;91.5;6.9;100.0;A
800203;24.7;86.8;9.8;100.0;A
800204;13.8;84.4;5.4;79.8;B
800205;28.2;83.1;9.4;100.0;A
800206;18.8;96.3;8.1;100.0;A
800207;25.8;98.0;9.0;95.8;A
800208;14.3;72.7;5.5;77.5;B
800209;14.1;88.1;8.6;100.0;A
800210;15.2;71.5;5.8;75.7;B
800211;16.8;75.5;7.3;73.8;B
800212;23.9;91.2;8.5;100.0;A
800213;26.3;89.0;6.7;94.2;A
800214;23.7;84.1;9.2;100.0;A
800215;29.0;93.4;6.7;87.6;A
800216;12.0;66.7;4.4;62.9;C
800217;28.6;99.9;9.8;91.7;A
800218;9.1;74.0;3.2;66.5;C
800219;14.3;69.2;6.7;80.7;B
800220;23.9;91.2;9.2;100.0;A
800221;19.1;95.1;8.2;100.0;A
800222;9.1;65.9;3.9;67.0;C
800223;6.7;35.9;3.3;41.8;D
800224;14.8;83.3;9.0;90.5;A
800225;25.7;80.3;10.0;100.0;A
800226;5.0;75.0;5.4;58.5;C
800227;14.9;87.0;8.8;87.2;A
800228;20.9;85.7;7.5;92.7;A
800229;27.5;85.3;8.0;100.0;A
800230;12.2;76.1;7.2;76.6;B
800231;21.4;99.8;9.9;100.0;A
800232;24.6;80.1;7.6;89.6;A
800233;21.3;86.2;9.6;90.6;A
800234;5.0;62.6;4.7;69.5;C
800235;21.2;92.5;7.6;91.5;A
800236;23.4;81.0;7.7;100.0;A
800237;18.6;96.3;6.5;100.0;A
800238;29.7;81.9;8.7;100.0;A
800239;23.1;89.3;9.1;100.0;A
800240;25.6;87.8;8.3;100.0;A
800241;14.0;97.7;8.5;100.0;A
800242;23.6;89.2;9.4;100.0;A
800243;25.0;86.3;8.3;94.0;A
800244;17.9;97.5;6.8;97.3;A
800245;19.4;97.8;8.0;100.0;A
800246;17.7;92.2;8.1;98.6;A
800247;15.3;80.8;7.2;80.1;B
800248;11.2;71.9;4.4;63.9;C
800249;9.5;59.3;4.7;68.9;C
800250;8.7;62.2;3.7;65.4;C
800251;23.4;99.2;8.3;94.0;A
800252;10.9;78.6;5.3;74.0;B
800253;28.4;89.2;7.9;90.2;A
800254;9.3;57.6;4.2;55.1;C
800255;12.5;68.7;2.7;55.6;C
800256;11.7;83.0;5.8;75.1;B
800257;11.2;83.9;6.8;81.6;B
800258;12.0;72.1;4.8;79.9;B
800259;21.5;91.1;9.6;91.6;A
800260;13.1;85.3;5.5;70.6;B
800261;13.3;76.8;5.8;76.4;B
800262;14.2;81.6;7.7;99.6;A
800263;1.3;33.1;3.1;54.7;D
800264;24.7;97.4;8.7;100.0;A
800265;22.5;84.6;9.7;100.0;A
800266;17.4;84.4;5.2;72.8;B
800267;17.4;79.6;5.6;75.0;B
800268;26.8;89.5;6.5;100.0;A
800269;17.3;71.2;5.5;72.8;B
800270;19.0;88.7;6.6;100.0;A
800271;16.5;80.1;7.3;78.0;B
800272;17.4;81.2;8.4;100.0;A
800273;14.3;76.2;6.1;80.4;B
800274;28.5;80.6;7.2;93.0;A
800275;12.3;80.6;4.9;80.8;B
800276;17.2;89.9;7.0;89.4;A
800277;12.8;64.3;4.4;60.1;C
800278;13.4;82.3;5.3;79.6;B
800279;14.0;68.2;6.3;83.9;B
800280;6.1;31.4;2.8;45.5;D
800281;20.3;92.1;9.6;95.3;A
800282;16.0;93.6;9.3;89.4;A
800283;18.3;88.8;7.5;100.0;A
800284;18.4;99.3;6.7;100.0;A
800285;29.9;96.0;7.8;100.0;A
800286;15.5;81.7;5.1;84.8;B
800287;10.8;65.8;4.4;69.6;C
800288;25.3;97.0;6.8;88.2;A
800289;22.0;94.0;7.6;100.0;A
800290;6.7;71.4;3.7;59.3;C
800291;28.3;98.6;9.4;100.0;A
800292;20.0;96.4;9.9;100.0;A
800293;25.8;82.1;9.4;92.5;A
800294;21.0;92.8;8.4;98.5;A
800295;25.9;84.2;6.8;100.0;A
800296;7.6;47.7;2.1;47.7;D
800297;20.0;81.4;9.2;95.6;A
800298;26.1;99.2;6.5;94.2;A
800299;14.5;89.8;7.3;100.0;A
800300;23.6;95.6;7.8;90.0;A
800301;13.0;61.6;4.1;57.9;C
800302;22.4;96.7;9.5;95.1;A
800303;18.6;88.6;8.9;85.4;A
800304;17.7;80.0;7.4;76.9;B
800305;8.0;68.6;3.2;60.7;C
800306;14.7;81.6;6.9;84.6;B
800307;23.2;92.0;8.1;100.0;A
800308;27.6;98.0;7.4;93.1;A
800309;17.4;81.9;7.0;91.8;A
800310;27.5;98.0;6.7;100.0;A
800311;17.7;86.3;9.0;97.9;A
800312;10.8;85.6;4.8;75.2;B
800313;21.8;84.0;9.6;100.0;A
800314;11.5;67.6;4.3;66.7;C
800315;27.7;97.6;7.3;100.0;A
800316;14.5;82.4;8.8;100.0;A
800317;1.1;37.2;1.1;42.0;D
800318;20.1;81.0;9.2;100.0;A
800319;8.1;74.2;4.4;56.8;C
800320;25.3;81.6;7.4;92.1;A
800321;16.2;71.5;5.8;84.7;B
800322;26.0;86.4;9.8;100.0;A
800323;9.5;73.1;4.7;58.5;C
800324;15.2;94.8;8.0;90.6;A
800325;10.7;82.4;6.8;75.5;B
800326;19.8;95.8;8.9;93.0;A
800327;13.0;67.6;5.0;68.1;C
800328;23.2;95.5;7.4;89.2;A
800329;28.7;93.2;9.6;100.0;A
800330;26.0;89.4;9.1;100.0;A
800331;11.8;69.9;4.7;57.3;C
800332;14.4;70.9;6.6;79.1;B
800333;22.4;86.2;9.6;100.0;A
800334;6.8;38.1;1.9;36.2;F
800335;21.3;93.7;9.2;99.5;A
800336;28.3;100.0;8.0;98.7;A
800337;27.0;83.8;7.2;100.0;A
800338;16.4;84.8;4.8;84.3;B
800339;16.0;86.8;6.9;100.0;A
800340;12.8;71.4;5.9;83.2;B
800341;16.3;71.7;5.4;70.3;B
800342;15.8;87.2;5.0;78.5;B
800343;21.1;83.2;8.8;100.0;A
800344;14.0;80.0;7.1;100.0;A
800345;3.8;56.8;2.1;51.7;D
800346;17.3;95.1;8.1;90.7;A
800347;14.8;84.6;6.8;100.0;A
800348;10.5;59.0;5.2;65.7;C
800349;27.8;96.1;8.6;100.0;A
800350;15.9;96.1;7.0;100.0;A
800351;19.3;84.1;9.5;100.0;A
800352;10.6;77.2;5.0;84.9;B
800353;26.0;86.3;8.6;100.0;A
800354;25.7;85.8;8.2;100.0;A
800355;17.4;94.3;7.2;94.7;A
800356;26.6;84.4;8.7;97.9;A
800357;12.4;56.9;4.0;68.6;C
800358;16.7;69.3;7.2;70.5;B
800359;9.5;61.8;5.1;68.3;C
800360;19.9;91.5;9.5;85.3;A
800361;20.1;97.1;7.7;100.0;A
800362;20.0;90.1;9.6;92.7;A
800363;19.1;96.7;8.8;90.5;A
800364;16.4;88.8;9.1;91.4;A
800365;22.0;90.3;9.1;86.4;A
800366;14.5;92.9;7.7;86.3;A
800367;23.7;95.0;8.6;95.7;A
800368;26.8;87.6;9.1;86.3;A
800369;26.8;99.8;9.8;99.7;A
800370;25.8;96.3;8.7;100.0;A
800371;6.9;58.3;4.4;58.2;C
800372;11.9;75.4;5.4;78.1;B
800373;27.4;90.8;6.9;100.0;A
800374;24.1;94.0;7.7;100.0;A
800375;19.5;82.4;8.0;85.6;A
800376;8.6;73.4;4.5;64.2;C
800377;24.6;97.3;8.4;93.3;A
800378;22.8;98.6;8.1;100.0;A
800379;15.8;82.7;5.5;70.1;B
800380;15.5;79.0;5.0;78.3;B
800381;17.8;69.3;5.8;74.3;B
800382;27.2;82.4;7.8;92.1;A
800383;9.2;53.9;4.2;61.3;C
800384;12.4;87.4;6.3;72.5;B
800385;6.7;34.3;2.6;51.9;D
800386;28.8;84.2;8.3;100.0;A
800387;25.2;88.2;8.7;100.0;A
800388;23.4;85.2;9.6;88.8;A
800389;27.1;89.3;7.9;93.4;A
800390;13.8;78.6;4.7;73.8;B
800391;28.7;94.5;9.3;100.0;A
800392;25.0;96.3;8.3;100.0;A
800393;24.6;81.4;7.2;94.3;A
800394;5.6;53.0;3.0;60.3;C
800395;11.4;73.4;4.8;72.6;B
800396;26.0;91.3;6.8;88.0;A
800397;27.2;84.3;9.1;100.0;A
800398;18.3;86.6;9.9;100.0;A
800399;7.4;73.0;4.0;69.8;C
800400;16.4;71.4;4.6;72.1;B
800401;22.4;93.4;7.7;100.0;A
800402;15.4;72.2;5.1;77.9;B
800403;16.3;88.9;7.1;96.3;A
800404;24.9;95.5;8.7;100.0;A
800405;13.4;82.3;6.3;82.8;B
800406;15.0;85.4;6.4;82.8;B
800407;9.7;57.9;4.2;67.5;C
800408;21.1;99.3;9.8;100.0;A
800409;15.0;84.4;7.4;85.4;A
800410;27.0;80.4;7.1;85.2;A
800411;22.4;96.3;7.8;100.0;A
800412;3.7;51.5;2.1;37.2;F
800413;12.0;57.1;4.6;69.4;C
800414;19.7;89.4;7.9;90.6;A
800415;14.5;95.3;8.4;89.3;A
800416;17.0;94.6;7.1;100.0;A
800417;24.9;97.5;9.1;100.0;A
800418;18.9;91.0;9.3;100.0;A
800419;25.7;95.3;8.4;100.0;A
800420;17.1;88.8;8.4;95.6;A
800421;10.1;81.1;6.6;73.0;B
800422;17.5;97.4;7.1;99.9;A
800423;17.5;83.9;5.8;79.9;B
800424;17.7;73.5;4.8;72.1;B
800425;29.1;96.0;8.2;96.9;A
800426;20.9;84.6;9.3;85.1;A
800427;6.4;34.9;1.8;54.7;D
800428;19.1;82.9;8.7;100.0;A
800429;3.3;45.3;2.3;48.6;D
800430;16.7;73.1;6.5;75.2;B
800431;20.6;88.9;8.2;95.6;A
800432;18.7;86.0;9.3;93.7;A
800433;19.4;87.8;9.1;91.4;A
800434;12.2;87.3;5.1;76.8;B
800435;15.2;75.8;6.6;74.2;B
800436;15.2;85.9;4.8;79.5;B
800437;14.5;78.1;5.6;78.6;B
800438;25.9;93.7;6.9;100.0;A
800439;22.4;92.4;9.0;97.7;A
800440;10.8;76.4;5.6;77.6;B
800441;17.4;71.6;5.8;82.6;B
800442;17.0;82.4;4.7;74.3;B
800443;28.9;97.7;8.1;100.0;A
800444;18.8;91.7;8.1;100.0;A
800445;16.9;73.2;7.0;78.7;B
800446;9.1;53.6;4.0;62.2;C
800447;14.5;98.9;9.8;88.3;A
800448;15.1;99.9;8.7;97.2;A
800449;20.9;91.6;6.5;96.2;A
800450;11.3;77.6;7.3;79.6;B
800451;22.7;96.7;8.4;100.0;A
800452;25.5;96.5;7.2;100.0;A
800453;28.3;95.0;6.9;98.8;A
800454;7.3;70.4;3.1;65.2;C
800455;3.1;36.7;1.7;50.7;D
800456;13.4;82.1;6.7;76.3;B
800457;14.9;81.7;5.0;75.9;B
800458;5.6;73.1;3.0;69.3;C
800459;28.8;93.8;7.9;88.2;A
800460;10.8;83.4;6.9;84.5;B
800461;14.0;86.7;5.1;81.1;B
800462;24.0;88.6;8.9;100.0;A
800463;12.3;70.4;3.1;67.3;C
800464;26.6;95.4;9.4;87.2;A
800465;6.5;63.5;3.5;67.5;C
800466;19.6;81.7;8.2;100.0;A
800467;28.1;88.7;9.5;87.2;A
800468;12.2;60.8;4.0;68.9;C
800469;9.6;68.1;4.1;59.0;C
800470;16.5;92.4;7.3;100.0;A
800471;19.4;96.3;7.8;100.0;A
800472;8.5;73.8;3.8;67.3;C
800473;12.9;68.9;5.9;75.5;B
800474;5.1;47.6;2.1;53.1;D
800475;10.8;80.7;5.5;74.1;B
800476;17.1;82.5;8.5;100.0;A
800477;16.7;71.7;6.3;70.7;B
800478;26.1;80.9;7.0;92.8;A
800479;19.3;89.4;9.7;95.1;A
800480;2.9;37.3;1.0;41.7;D
800481;8.1;53.4;4.4;70.0;C
800482;17.9;99.0;7.6;97.3;A
800483;15.1;81.6;6.5;100.0;A
800484;26.2;96.6;7.3;100.0;A
800485;26.4;97.7;6.7;100.0;A
800486;19.8;94.4;8.3;90.1;A
800487;5.1;38.6;3.4;52.9;D
800488;15.8;87.4;5.7;76.6;B
800489;26.5;96.0;8.8;99.4;A
800490;5.9;72.6;4.5;56.3;C
800491;29.8;81.8;7.6;97.7;A
800492;21.6;86.1;7.5;90.6;A
800493;11.8;83.2;7.2;83.7;B
800494;15.9;80.9;10.0;90.4;A
800495;21.8;97.7;7.2;89.6;A
800496;5.4;63.9;5.5;69.9;C
800497;26.4;83.7;7.6;100.0;A
800498;19.1;96.2;7.1;100.0;A
800499;28.6;81.7;7.1;100.0;A
800500;28.4;92.2;7.1;100.0;A
800501;15.8;90.5;6.5;91.2;A
800502;11.9;74.0;5.5;56.4;C
800503;5.2;40.8;3.1;54.6;D
800504;12.3;79.7;5.4;70.6;B
800505;6.1;40.6;2.6;47.0;D
800506;21.7;84.5;9.0;89.9;A
800507;24.2;92.6;8.1;100.0;A
800508;24.4;89.8;9.4;100.0;A
800509;19.2;94.4;8.0;97.3;A
800510;11.3;78.2;5.2;76.3;B
800511;12.6;82.8;7.3;77.6;B
800512;28.2;89.2;7.8;92.8;A
800513;12.8;73.3;7.3;71.1;B
800514;19.7;83.3;8.0;93.8;A
800515;8.3;54.6;3.4;58.4;C
800516;24.2;87.7;9.9;100.0;A
800517;29.7;89.7;7.2;91.9;A
800518;28.5;94.1;8.0;94.2;A
800519;26.4;90.4;7.7;98.1;A
800520;5.6;70.8;5.2;66.4;C
800521;11.8;78.6;5.9;84.3;B
800522;26.0;83.3;6.7;89.2;A
800523;18.9;94.6;9.6;99.9;A
800524;17.5;96.8;8.0;100.0;A
800525;16.1;78.1;6.1;73.4;B
800526;23.9;83.6;9.7;94.3;A
800527;4.9;45.9;1.0;43.6;D
800528;17.1;72.5;7.2;77.3;B
800529;4.0;44.6;2.0;50.6;D
800530;29.2;89.3;7.0;100.0;A
800531;20.7;97.1;9.5;89.3;A
800532;18.9;99.0;6.6;100.0;A
800533;9.3;70.3;2.6;68.5;C
800534;12.1;74.9;6.9;73.2;B
800535;10.8;74.7;7.4;70.8;B
800536;26.0;82.2;8.4;93.6;A
800537;15.0;86.2;7.3;72.0;B
800538;8.6;70.1;5.2;59.5;C
800539;24.3;88.7;7.8;100.0;A
800540;29.9;81.7;8.2;100.0;A
800541;28.1;85.6;9.9;100.0;A
800542;12.7;86.0;5.2;82.2;B
800543;10.5;56.4;5.4;61.2;C
800544;29.7;82.5;6.7;100.0;A
800545;18.5;95.5;7.8;86.2;A
800546;16.9;90.7;7.1;90.6;A
800547;14.3;93.7;9.8;95.0;A
800548;11.8;52.1;3.4;57.4;C
800549;21.6;92.5;6.7;99.8;A
800550;14.4;74.3;5.2;76.1;B
800551;27.1;91.4;6.5;87.6;A
800552;14.3;95.1;9.0;86.9;A
800553;14.4;86.0;7.3;96.5;A
800554;25.4;90.9;7.7;89.9;A
800555;14.9;83.1;4.5;79.1;B
800556;25.9;91.0;9.6;93.2;A
800557;13.4;69.9;5.9;82.1;B
800558;14.8;83.4;5.7;76.0;B
800559;19.7;84.3;9.2;94.3;A
800560;17.3;73.1;6.2;79.0;B
800561;7.0;72.3;4.4;58.3;C
800562;21.2;98.8;9.1;90.6;A
800563;16.8;90.2;7.2;98.1;A
800564;21.9;97.2;9.0;100.0;A
800565;23.0;91.5;8.2;100.0;A
800566;12.7;84.5;6.0;81.1;B
800567;20.4;85.6;7.8;98.4;A
800568;29.3;98.9;9.2;100.0;A
800569;21.7;92.6;7.3;86.0;A
800570;17.2;94.7;9.0;87.8;A
800571;18.7;97.3;9.4;99.9;A
800572;11.6;72.7;5.9;76.8;B
800573;13.5;85.9;6.4;70.1;B
800574;16.9;75.5;5.4;81.0;B
800575;28.5;94.0;8.3;100.0;A
800576;6.7;55.4;2.9;69.7;C
800577;19.1;96.9;8.6;100.0;A
800578;8.5;66.6;3.1;59.7;C
800579;27.6;85.8;9.9;90.2;A
800580;25.7;87.9;7.1;100.0;A
800581;23.2;80.5;9.2;100.0;A
800582;12.6;81.8;4.7;71.4;B
800583;9.3;67.3;4.6;64.0;C
800584;20.5;90.1;7.3;100.0;A
800585;12.9;86.8;6.4;75.0;B
800586;29.0;93.3;9.1;95.7;A
800587;11.0;77.3;4.9;72.7;B
800588;23.4;86.6;9.6;98.4;A
800589;9.2;65.6;2.6;56.3;C
800590;16.6;84.6;8.5;100.0;A
800591;13.2;82.2;6.1;84.4;B
800592;17.5;73.4;6.6;78.6;B
800593;17.1;80.1;7.4;80.2;B
800594;23.2;89.3;9.0;100.0;A
800595;17.4;74.5;7.2;80.0;B
800596;24.2;80.8;8.2;100.0;A
800597;28.3;98.6;8.8;100.0;A
800598;15.9;80.5;5.8;83.0;B
800599;13.1;86.6;4.8;81.1;B
800600;13.0;85.1;4.7;77.7;B
800601;10.7;72.9;6.9;72.2;B
800602;10.9;68.5;7.1;83.5;B
800603;6.1;45.5;2.8;44.5;D
800604;26.2;98.7;7.4;100.0;A
800605;14.7;94.3;7.9;99.4;A
800606;17.7;97.8;9.1;100.0;A
800607;16.6;80.0;5.7;72.2;B
800608;19.0;92.4;8.6;95.3;A
800609;13.5;68.4;5.8;83.1;B
800610;28.6;84.6;6.6;90.7;A
800611;27.8;92.8;8.8;100.0;A
800612;15.5;75.0;6.3;78.3;B
800613;9.1;70.3;5.4;58.6;C
800614;24.1;98.5;9.1;100.0;A
800615;16.4;83.9;9.3;100.0;A
800616;26.1;89.2;8.4;100.0;A
800617;12.9;65.6;3.1;57.5;C
800618;16.1;69.3;7.1;81.9;B
800619;14.6;96.9;8.7;97.8;A
800620;16.9;71.4;5.1;83.5;B
800621;23.4;84.6;6.6;86.6;A
800622;26.0;99.4;9.0;96.7;A
800623;11.9;79.4;5.4;79.9;B
800624;24.8;92.6;8.2;94.4;A
800625;12.2;74.5;4.9;72.3;B
800626;12.9;62.7;3.4;66.9;C
800627;11.6;70.0;5.5;73.6;B
800628;7.0;61.9;4.2;64.5;C
800629;24.4;82.2;8.8;89.7;A
800630;15.9;77.6;7.3;84.8;B
800631;29.9;84.6;6.9;100.0;A
800632;25.4;93.9;9.7;100.0;A
800633;12.4;71.3;3.2;55.0;C
800634;7.8;55.9;3.1;60.3;C
800635;23.9;86.7;8.7;95.8;A
800636;28.8;81.9;8.6;100.0;A
800637;29.5;99.8;7.5;100.0;A
800638;7.4;39.6;2.3;47.1;D
800639;16.3;98.7;6.5;100.0;A
800640;21.1;87.5;7.8;96.5;A
800641;16.1;78.6;4.6;81.1;B
800642;24.4;89.2;9.9;100.0;A
800643;27.3;87.8;6.9;99.7;A
800644;26.7;81.5;7.5;100.0;A
800645;15.5;93.9;9.1;100.0;A
800646;26.2;93.4;6.9;88.3;A
800647;24.3;97.3;9.0;100.0;A
800648;3.9;37.7;2.6;45.8;D
800649;13.5;69.5;6.2;78.7;B
800650;8.4;62.2;5.5;68.6;C
800651;21.4;89.8;9.8;89.3;A
800652;16.8;89.2;7.9;98.4;A
800653;16.9;88.3;9.2;91.8;A
800654;27.3;87.7;9.6;92.3;A
800655;21.8;84.9;9.0;94.5;A
800656;17.2;91.0;9.5;95.5;A
800657;16.5;85.3;9.9;100.0;A
800658;22.7;97.6;7.5;100.0;A
800659;17.7;77.2;5.7;80.1;B
800660;17.6;76.6;4.7;82.4;B
800661;25.9;96.1;7.4;100.0;A
800662;21.9;85.1;7.8;100.0;A
800663;12.4;65.6;3.6;62.2;C
