obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID
1,23765E+18;128,8089602;48,31229035;20,83298;20,57082;20,41199;20,18402;20,00301;2074;301;6;81;8,2407E+18;QSO;1,605603;7319;56962;854
1,23765E+18;231,2461711;59,13620177;18,97674;17,56862;16,98281;16,67279;16,44525;2206;301;4;84;6,90205E+17;GALAXY;0,06880727;613;52345;103
1,23767E+18;202,786759;28,4500481;22,58789;21,05663;19,35272;18,67433;18,28872;4649;301;3;130;6,75564E+18;GALAXY;0,4426736;6000;56102;876
1,23766E+18;222,3782894;56,89002103;25,2826;25,34532;23,0876;19,80618;18,22917;2326;301;4;195;8,90618E+17;STAR;-0,000104436;791;52435;113
1,23766E+18;359,6570972;32,95548084;21,97449;21,69863;21,38898;21,0602;20,86143;4152;301;4;73;8,73E+18;QSO;2,063942;7751;58081;980
1,23766E+18;359,9135149;32,0239468;23,24156;22,20238;21,51735;20,69772;20,655;4152;301;4;80;8,72478E+18;QSO;0,5922398;7749;58073;664
1,23766E+18;185,6499447;8,521346776;18,92195;17,63293;17,00874;16,68522;16,45302;3841;301;6;139;1,82976E+18;GALAXY;0,09109306;1625;53140;618
1,23767E+18;260,1629994;-13,55370208;19,19747;17,72919;17,05325;16,71684;16,5383;5396;301;3;176;2,85419E+18;STAR;-0,00049034;2535;54632;114
1,23766E+18;200,6061883;41,37229702;19,18777;18,6329;18,60805;18,57782;18,40724;3893;301;3;253;5,29981E+18;QSO;2,401429;4707;55653;715
1,23768E+18;357,2031218;21,40234085;22,49406;22,12922;21,71948;21,21798;21,52577;7917;301;1;87;8,55478E+18;QSO;1,705362;7598;56956;696
1,23766E+18;122,8608415;29,33072424;22,43819;26,58768;22,52202;20,91633;19,71552;2961;301;4;60;1,15846E+19;GALAXY;0,644872;10289;58133;633
1,23766E+18;220,0915493;36,45139815;22,32719;21,88314;21,6011;21,28468;21,43166;3919;301;3;111;1,21082E+19;QSO;1,530115;10754;58224;829
1,23766E+18;123,4316699;25,87076285;24,5058;20,98518;20,34788;20,12044;19,96652;3605;301;4;99;1,42544E+18;QSO;2,32013;1266;52709;178
1,23767E+18;226,4886379;26,19412298;18,60624;17,53934;17,13038;16,78178;16,66496;4588;301;5;132;2,42E+18;GALAXY;0,05855126;2151;54523;63
1,23767E+18;219,1626549;28,51259747;24,52607;23,6955;20,87215;19,75874;19,35314;4588;301;5;86;6,77594E+18;GALAXY;0,3504982;6018;56067;989
1,23766E+18;116,0636984;46,38837643;22,65967;21,77557;20,35335;19,39692;18,76512;4294;301;1;48;4,13557E+18;GALAXY;0,5823089;3673;55178;519
1,23766E+18;127,2109212;57,37197522;25,61399;23,22746;21,17063;19,54935;19,27059;4294;301;1;134;5,80069E+18;GALAXY;0,6602999;5152;56010;209
1,23766E+18;198,1395736;37,42482567;18,93751;17,98169;17,92179;17,51239;17,5117;4512;301;5;17;9,95195E+18;STAR;-0,00033412;8839;57846;451
1,23768E+18;11,80645906;-6,666637995;23,50801;20,52009;18,83196;18,08647;17,708;8067;301;5;47;8,05492E+18;GALAXY;0,367905;7154;56955;846
1,23768E+18;354,9376376;27,63626219;21,98658;20,07462;18,99108;18,53072;18,16542;8103;301;5;66;8,66943E+18;GALAXY;0,1265849;7700;58016;3
1,23766E+18;200,3333748;47,35475032;21,8851;21,90467;20,34422;19,43953;19,05498;3699;301;6;90;7,45928E+18;GALAXY;0,4627784;6625;56386;715
1,23766E+18;250,1189976;34,36718799;18,8459;17,54469;17,042;16,74766;16,54192;3187;301;5;165;1,50774E+18;GALAXY;0,08568575;1339;52767;588
1,23766E+18;41,67592104;-0,714960696;22,47801;22,07915;21,89389;20,71778;20,12295;4263;301;2;394;1,05509E+19;GALAXY;0,8078082;9371;58073;220
1,23766E+18;356,4752317;-0,813217304;24,2211;22,89557;23,06433;23,06226;21,77314;4263;301;2;92;1,03686E+19;GALAXY;0,946361;9209;57686;806
1,23768E+18;2,51849562;-2,75548196;23,46344;23,05581;21,61043;20,42122;19,75596;7907;301;3;88;8,85305E+18;GALAXY;0,7249243;7863;56975;363
1,23766E+18;244,6832634;29,43975677;19,52728;18,21919;17,75449;17,44827;17,22931;3926;301;5;126;1,58429E+18;GALAXY;0,06136207;1407;52886;539
1,23766E+18;229,7760886;38,37661194;25,98937;23,79386;21,75177;20,69606;19,9184;3926;301;5;24;1,20958E+19;GALAXY;0,7681171;10743;58222;829
1,23766E+18;246,6438682;28,02908486;19,42085;17,80614;17,12918;16,73179;16,53579;3926;301;5;141;1,58539E+18;GALAXY;0,09659248;1408;52822;449
1,23768E+18;11,19635871;-2,901952346;21,49835;21,70131;20,42285;19,5051;18,88084;7907;301;3;146;4,91906E+18;GALAXY;0,6503068;4369;55827;5
1,23768E+18;11,29089368;-2,75468207;23,39168;22,69824;22,15433;21,45803;20,71816;7907;301;3;147;1,05262E+19;GALAXY;0,7785875;9349;58068;765
1,23768E+18;11,44429203;-2,780270333;24,80186;22,88139;21,382;20,32282;19,88685;7907;301;3;148;4,92027E+18;GALAXY;0,5906847;4370;55534;308
1,23766E+18;351,4104009;1,165327754;23,45477;23,10452;21,37284;20,31661;19,803;4188;301;6;52;4,74135E+18;GALAXY;0,5910671;4211;55446;664
1,23767E+18;122,5524292;65,09600395;19,03222;17,24349;16,48596;16,18118;16,02329;5060;301;1;181;3,69978E+18;STAR;0,000175146;3286;54910;250
1,23767E+18;181,8621238;19,21227016;18,01474;16,51539;15,97557;15,8226;15,73042;5314;301;2;36;8,39591E+18;STAR;-0,000104771;7457;56746;255
1,23767E+18;209,5601499;17,49711479;23,11611;21,50067;19,9603;19,202;18,71819;5314;301;2;212;3,72677E+18;STAR;-0,000106455;3310;54919;136
1,23766E+18;167,2046655;57,42016493;20,97693;20,67483;20,36358;20,10126;19,93788;2826;301;6;231;7,99618E+18;QSO;1,978117;7102;56666;123
1,23766E+18;181,5122725;58,56508412;20,23627;19,223;18,85256;18,72326;18,60482;2826;301;6;282;9,2697E+18;STAR;-0,000488761;8233;57887;588
1,23766E+18;132,7718144;31,69394206;24,69689;21,00084;19,12046;18,53719;18,10531;3560;301;4;171;5,83807E+18;GALAXY;0,3641032;5185;55978;999
1,23765E+18;192,6627444;-0,384131201;18,64687;17,77069;17,40493;17,29224;17,19424;752;301;3;328;4,33484E+18;STAR;-0,000180396;3850;55575;470
1,23766E+18;188,8083751;58,79637524;19,12256;18,23507;17,94919;17,81537;17,80251;2243;301;1;350;7,8453E+18;STAR;-0,000593355;6968;56443;90
1,24E+18;210,6877766;5,624230088;19,25188;17,76511;17,20142;16,87588;16,64915;3841;301;1;305;2,05372E+18;GALAXY;0,06448261;1824;53491;281
1,23766E+18;1,107465735;27,86302247;17,89907;16,90035;16,48181;16,33457;16,23169;4152;301;4;108;3,15594E+18;STAR;-0,000422959;2803;54368;155
1,23766E+18;1,36798256;26,9677631;20,76243;19,2969;18,76894;18,61089;18,50684;4152;301;4;114;3,17956E+18;STAR;-0,000513831;2824;54452;66
1,23766E+18;201,0509187;50,55679246;22,85497;21,47117;20,66505;20,32978;20,02594;3838;301;2;42;8,36907E+18;STAR;-0,000371666;7433;57166;945
1,23766E+18;333,3041332;-0,316743915;23,05789;21,81322;20,97212;20,66794;20,41014;4192;301;3;177;1,02988E+19;STAR;-0,000329102;9147;58038;532
1,23768E+18;26,32521245;11,92891389;25,75415;22,16164;20,90058;19,9597;19,47252;7773;301;4;482;5,2492E+18;QSO;1,161975;4662;55590;933
1,23765E+18;194,6793738;-0,637217848;23,29076;21,82211;21,61138;21,29576;21,06864;752;301;2;341;4,33473E+18;QSO;1,251403;3850;55575;56
1,23766E+18;257,1126036;34,16868004;22,1334;21,10391;21,1552;21,16977;20,75192;2335;301;4;84;5,62184E+18;STAR;-0,000910416;4993;55738;800
1,23767E+18;18,55693288;0,269596977;22,59965;22,64254;22,43658;22,36261;22,69316;4858;301;4;478;9,8968E+18;GALAXY;1,335877;8790;57363;508
1,23767E+18;56,34441944;0,320188229;23,95127;21,92217;20,56262;19,89924;19,42448;4849;301;4;831;1,39959E+18;GALAXY;0,2667221;1243;52930;348
1,23766E+18;90,32632952;0,199711535;21,83709;19,79982;18,30536;16,8725;16,07416;2960;301;4;102;1,40529E+18;STAR;0,000148643;1248;54477;600
1,23768E+18;5,035231367;3,588267114;26,29686;24,87047;22,11235;20,76107;19,78618;7712;301;6;363;9,84601E+18;GALAXY;0,6253552;8745;57391;69
1,23768E+18;13,57519999;3,534384515;22,58592;21,95599;21,69801;21,38982;21,19366;7712;301;6;420;1,06E+19;GALAXY;0,8306586;9432;58100;176
1,23766E+18;182,7863005;39,98221641;18,93998;17,68024;17,04296;16,69688;16,47036;4469;301;3;437;2,24621E+18;GALAXY;0,09745005;1995;53415;127
1,23768E+18;318,4729459;1,037858359;25,27707;21,57651;20,62883;20,25055;19,92194;7717;301;2;52;1,11028E+18;QSO;6,078657;986;52443;501
1,23765E+18;155,5197003;60,22425554;20,70904;20,27948;20,2109;20,08824;19,89498;2074;301;6;211;7,98166E+18;QSO;2,239679;7089;56661;554
1,23765E+18;138,6068449;54,0530646;21,09086;20,93331;20,88741;20,9694;20,63648;2074;301;6;137;8,19096E+18;STAR;-0,000462505;7275;57093;129
1,23765E+18;152,2300925;59,30109296;21,77101;21,88249;21,83834;21,47327;21,49565;2074;301;6;198;9,22135E+18;QSO;1,550604;8190;57448;824
1,23765E+18;129,3453216;48,83549029;21,55892;21,29729;21,36021;20,96521;20,75391;2074;301;6;86;8,24071E+18;QSO;2,208897;7319;56962;919
1,23766E+18;198,1951454;37,18824976;21,45757;21,38324;21,09976;21,06894;21,3987;4510;301;4;18;9,98805E+18;QSO;1,362291;8871;57519;712
1,23767E+18;132,8065354;21,71553555;21,37167;20,87847;21,16142;21,16608;22,15792;5045;301;4;148;1,24932E+19;GALAXY;0,03927699;11096;58485;832
1,23766E+18;172,5010641;39,28385623;21,7107;21,84619;20,41886;19,18431;18,68421;4469;301;3;384;5,23334E+18;GALAXY;0,6317963;4648;55673;581
1,24E+18;70,30274868;21,06549201;21,45514;19,79704;18,9103;18,48823;18,23059;6505;301;3;21;3,03888E+18;STAR;8,43E-05;2699;54414;290
1,23767E+18;35,90066203;-0,95157433;20,77015;19,32632;18,59872;18,17559;17,94559;4874;301;1;661;1,75419E+18;GALAXY;0,07252558;1558;53271;136
1,23766E+18;170,026406;57,71230094;20,77286;20,85135;20,64919;20,51331;20,42879;2826;301;6;242;9,20673E+18;QSO;1,421481;8177;57374;911
1,23766E+18;170,5029685;57,76058193;21,68559;21,65345;21,6315;21,21958;20,84376;2826;301;6;243;9,21331E+18;QSO;2,04312;8183;57375;246
1,23766E+18;184,2684711;58,69439636;21,25429;21,4781;20,87233;20,82221;20,45566;2826;301;6;292;9,27303E+18;QSO;1,368646;8236;58197;414
1,23766E+18;188,876258;58,63898293;21,05919;19,85882;19,38092;19,15897;19,09256;2826;301;6;308;9,27189E+18;STAR;-0,00121651;8235;58191;392
1,23766E+18;358,6648288;36,45618099;20,63882;19,54266;19,08347;18,90088;18,89344;4152;301;4;49;2,11785E+18;STAR;-0,000295383;1881;53261;112
1,23766E+18;359,537461;33,25194021;21,42546;21,34561;21,31317;21,16642;21,13607;4152;301;4;71;8,7271E+18;QSO;1,996429;7751;58081;921
1,23767E+18;349,5180391;0,312194661;19,06977;18,20577;17,83176;17,68094;17,60939;4874;301;4;351;9,86754E+18;STAR;-0,000393021;8764;57332;563
1,23767E+18;37,22631329;0,38809104;23,49188;20,17933;18,69516;17,90442;17,44259;4874;301;4;669;1,69803E+18;STAR;8,66E-05;1508;52944;631
1,23767E+18;83,95034069;0,241430737;23,92233;21,10827;19,01106;17,78176;17,03347;4874;301;4;982;1,40079E+18;STAR;0,000193134;1244;52674;619
1,23767E+18;354,6161533;0,414776975;18,41163;16,72214;16,11652;15,92959;15,83766;4874;301;4;385;2,14156E+18;STAR;-0,000110932;1902;53271;346
1,23768E+18;346,6655187;30,51261073;22,15843;21,78507;21,56503;21,46575;21,49684;8115;301;2;172;8,74737E+18;QSO;1,478896;7769;58420;904
1,23766E+18;246,6562798;27,07318214;20,73076;18,51174;17,54352;17,13628;16,80036;3926;301;3;145;1,58531E+18;GALAXY;0,1015936;1408;52822;174
1,23766E+18;232,7074208;48,63064315;20,1533;18,48433;17,58771;17,14849;16,82598;3225;301;2;146;1,31402E+18;GALAXY;0,1466473;1167;52738;351
1,23766E+18;226,792249;51,50145589;24,34708;23,38878;21,92081;20,73283;19,83025;3225;301;2;114;9,45438E+18;GALAXY;0,7887779;8397;57482;719
1,23766E+18;248,9759918;43,01624137;24,15232;23,32223;21,61554;20,67774;20,11028;2335;301;3;12;9,61198E+18;STAR;0,000257493;8537;58014;610
1,23766E+18;199,9385276;42,21501533;22,49516;20,84262;20,48815;20,18081;20,29486;3893;301;5;249;9,4443E+18;STAR;-0,000741586;8388;57488;926
1,23768E+18;34,93521375;-2,739193066;24,65215;23,10345;21,87606;20,59172;19,86629;7778;301;2;550;8,87567E+18;STAR;8,51E-05;7883;57331;743
1,23766E+18;354,3231332;1,107666302;19,58872;18,42926;17,96441;17,62395;17,48824;4188;301;6;72;7,67986E+17;GALAXY;0,08537674;682;52525;444
1,23766E+18;352,1882707;1,118309256;22,54498;22,07559;21,7406;21,01262;22,31777;4188;301;6;58;1,03608E+19;GALAXY;0,899128;9202;57713;850
1,23767E+18;91,06823397;63,00798649;19,34507;17,6411;16,93992;16,67266;16,54043;5060;301;1;88;2,58852E+18;STAR;-0,000202355;2299;53711;289
1,23767E+18;92,413013;63,09862276;21,59445;20,3237;19,66487;19,36907;19,22107;5060;301;1;92;2,59073E+18;STAR;-0,000210982;2301;53712;140
1,23767E+18;180,6512401;19,27847105;21,7;21,10714;21,14281;20,95748;20,60508;5314;301;2;28;6,58221E+18;QSO;2,314882;5846;56017;738
1,23768E+18;18,6562596;-6,578173401;26,50738;21,10692;19,34267;18,46445;17,94394;8067;301;5;93;8,06048E+18;GALAXY;0,485189;7159;56603;587
1,23767E+18;217,8887547;14,04858188;22,97496;22,12175;20,66749;19,62027;19,16016;5326;301;2;119;6,15426E+18;GALAXY;0,6271699;5466;56033;329
1,24E+18;95,21189876;64,76308993;17,7749;16,04847;15,37297;15,14784;15,03148;4887;301;4;192;2,58861E+18;STAR;-0,000118181;2299;53711;611
1,23767E+18;108,8717299;66,13175756;18,11187;16,49662;15,85471;15,64534;15,53919;4887;301;4;231;2,63139E+18;STAR;4,81E-05;2337;53740;586
1,23767E+18;19,65938073;0,323438984;21,72855;21,75492;21,90746;21,73416;22,25295;4858;301;4;486;8,86782E+18;QSO;2,204639;7876;57002;848
1,23766E+18;217,4677285;54,93597458;18,79178;17,4655;16,91994;16,72085;16,63606;3225;301;2;71;3,71101E+18;STAR;-0,000162695;3296;54909;166
1,23766E+18;221,4641352;53,78617355;21,719;21,68094;21,32687;21,1305;21,02149;3225;301;2;88;9,45776E+18;QSO;1,425107;8400;57837;714
1,23767E+18;32,58720324;-0,851356634;22,60447;22,34846;21,95279;21,04729;21,00116;4874;301;1;638;1,05644E+19;GALAXY;0,7492586;9383;58097;359
1,23767E+18;35,29185422;-0,955401121;22,57178;22,50107;22,14332;21,24257;20,72311;4874;301;1;657;1,06E+19;GALAXY;0,7266169;9376;58072;521
1,23768E+18;338,7234961;26,70618725;24,12838;22,35654;20,76692;19,76894;19,4108;8116;301;2;104;7,08983E+18;GALAXY;0,4844295;6297;56218;147
1,23768E+18;330,6121216;24,80902513;22,12595;20,76085;19,8329;19,05876;18,71237;8116;301;2;53;6,70039E+18;STAR;-5,35E-05;5951;56102;563
1,23768E+18;345,1659227;18,43420191;20,67411;20,74532;20,2087;20,08924;20,2764;8096;301;2;134;8,56591E+18;QSO;1,386498;7608;56945;236
1,23768E+18;336,8323652;17,15731265;25,27112;22,59242;20,93444;19,69803;19,09943;8096;301;2;80;5,66328E+18;GALAXY;0,6504005;5030;55830;15
1,23768E+18;358,2748878;19,44667504;23,29264;22,01396;20,68779;19,76902;19,54487;8096;301;2;217;6,8985E+18;GALAXY;0,5172365;6127;56274;395
1,23768E+18;345,581719;18,34022505;27,08526;19,98129;18,46774;17,83141;17,43915;8096;301;2;136;6,8996E+18;GALAXY;0,250887;6128;56236;296
1,23766E+18;211,9166609;36,21658971;20,07597;18,72015;17,63023;17,16471;16,85817;4002;301;2;35;1,84873E+18;GALAXY;0,2144516;1642;53115;13
1,23766E+18;121,392401;20,28713721;21,58754;19,84565;18,34359;17,78106;17,41883;4469;301;3;67;5,04527E+18;GALAXY;0,2796033;4481;55630;403
1,23768E+18;317,8748103;0,973400299;19,19772;18,08563;17,82569;17,73397;17,7375;7717;301;2;48;2,15965E+18;STAR;-0,000648782;1918;53240;626
1,23768E+18;319,6019798;1,101815456;18,79974;17,62993;17,21566;17,06498;16,99293;7717;301;2;60;1,71371E+18;STAR;-0,000177141;1522;52932;325
1,23768E+18;319,8390448;0,963814831;15,13991;15,51008;16,00032;16,33501;16,66321;7717;301;2;61;4,71999E+18;STAR;-0,000221161;4192;55469;796
1,23766E+18;231,2915906;47,92654837;26,04733;23,0566;22,05766;20,60474;19,86726;3187;301;5;35;9,49145E+18;GALAXY;0,8229617;8430;57488;415
1,23768E+18;5,379004645;12,84709037;21,76131;22,44471;20,66611;19,43674;19,1834;7773;301;4;345;6,96171E+18;GALAXY;0,6128524;6183;56210;993
1,23766E+18;206,9332884;5,722004089;23,2867;22,11535;20,4029;19,41015;18,94862;3841;301;1;280;5,47751E+18;GALAXY;0,4772877;4865;55713;14
1,23766E+18;211,263786;5,660883084;18,99796;18,04481;17,68075;17,45656;17,34046;3841;301;1;309;2,05371E+18;GALAXY;0,0535612;1824;53491;257
1,23766E+18;187,6033412;6,242349781;19,0106;17,94191;17,43052;17,02536;16,87767;3841;301;1;152;9,51488E+17;GALAXY;0,08514587;845;52381;372
1,23766E+18;1,097901899;27,32436266;19,84093;19,36459;19,63851;19,87274;20,0926;4152;301;4;112;3,17957E+18;STAR;0,000152886;2824;54452;116
1,24E+18;0,693780456;29,0697484;19,31646;17,81196;17,1918;16,9411;16,82103;4152;301;4;100;3,17968E+18;STAR;-0,00051187;2824;54452;516
1,23766E+18;219,4810631;46,2825551;20,65371;18,4621;17,62544;18,90423;17,21496;3838;301;2;128;9,5601E+18;STAR;3,75E-05;8491;57488;320
1,23766E+18;183,3219968;39,83396688;24,99466;22,10987;20,34187;19,42907;18,94941;4469;301;3;440;7,46707E+18;GALAXY;0,4526307;6632;56366;379
1,23767E+18;151,5384851;15,23602263;19,58283;18,24888;17,65043;17,2468;17,05806;5972;301;5;241;2,9117E+18;GALAXY;0,08027135;2586;54169;436
1,23766E+18;144,8833958;32,55257475;26,10835;20,3529;18,69516;18,1113;17,73127;4469;301;3;229;6,53715E+18;GALAXY;0,3007749;5806;56310;646
1,23767E+18;202,1158229;19,06001431;27,21545;21,31231;19,71439;18,71578;18,12627;5308;301;3;70;6,60474E+18;GALAXY;0,515439;5866;56035;771
1,23766E+18;171,7739083;6,90661524;21,2438;19,99813;18,32106;17,6742;17,3484;3841;301;3;47;1,82177E+18;GALAXY;0,2937998;1618;53116;226
1,23766E+18;200,0204151;42,35571632;21,70648;20,57108;20,46912;20,46101;20,33274;3893;301;5;249;7,45373E+18;STAR;-0,000593497;6620;56368;996
1,23766E+18;225,9705152;10,56145866;25,32144;22,15392;20,6467;19,7288;19,27822;3996;301;1;146;6,16994E+18;GALAXY;0,5013329;5480;56001;21
1,23766E+18;139,7844758;34,86804964;18,7787;17,99018;17,75867;17,57802;17,42417;4516;301;6;96;1,43448E+18;GALAXY;0,03732015;1274;52995;287
1,23766E+18;239,2076879;44,61254294;27,33103;22,37765;20,67857;19,62614;18,92902;3225;301;2;186;6,79265E+18;GALAXY;0,6055675;6033;56069;337
1,23765E+18;193,3236037;-0,331879564;18,7499;16,7482;15,96372;15,68902;15,54343;752;301;3;332;3,29976E+17;STAR;5,27E-05;293;51689;319
1,23767E+18;39,68869811;28,03919869;20,63436;18,40734;17,42551;17,03465;16,78284;5934;301;3;123;3,56E+18;STAR;-0,000168754;3158;54794;506
1,23765E+18;153,2608253;59,63941806;24,10076;22,82529;21,26813;20,12962;19,44344;2074;301;6;202;9,22137E+18;STAR;2,18E-05;8190;57448;913
1,23768E+18;2,492433703;22,66082857;25,94527;22,34369;20,54557;19,19612;18,71629;8108;301;4;257;7,74745E+18;GALAXY;0,6050637;6881;56540;471
1,23766E+18;167,1469777;57,64501434;24,52841;22,35309;21,30325;20,52604;20,16488;2243;301;1;274;9,20664E+18;GALAXY;0,6005176;8177;57374;568
1,23766E+18;201,0955963;57,86459343;20,78421;20,18603;19,99316;19,68197;19,50832;2243;301;1;394;9,23372E+18;QSO;0,7693337;8201;58146;764
1,23766E+18;175,9202078;58,43691816;22,35723;21,98696;21,36354;21,08789;20,59483;2243;301;1;305;9,27525E+18;GALAXY;0,3262095;8238;58171;298
1,23765E+18;135,8594431;52,76740386;23,1283;22,20356;21,79738;21,69764;20,79757;2074;301;6;124;8,21362E+18;GALAXY;0,2753747;7295;57067;673
1,23765E+18;136,0872492;52,86341354;21,27481;21,10262;20,88811;20,63082;20,5281;2074;301;6;125;8,20683E+18;QSO;1,452995;7289;57039;518
1,23766E+18;354,30346;1,1583225;22,1022;22,46536;22,10225;21,70761;21,98381;4188;301;6;72;1,03584E+19;GALAXY;0,9647906;9200;57716;518
1,23767E+18;92,81440491;63,37091031;20,61502;19,54277;19,13769;18,99586;18,89723;5060;301;1;94;2,59072E+18;STAR;-0,000499411;2301;53712;89
1,23767E+18;115,8733888;65,25870977;17,69279;16,19856;15,61991;15,40767;15,33096;5060;301;1;162;3,30905E+18;STAR;-0,000239195;2939;54515;123
1,23766E+18;128,5781686;25,66083982;24,22519;21,90712;20,28216;19,49989;18,98602;4469;301;5;123;5,02157E+18;GALAXY;0,4571223;4460;55533;193
1,23767E+18;351,1011905;0,391697698;24,89982;21,7444;20,26611;18,6258;17,69002;4874;301;4;361;1,233E+18;STAR;6,16E-05;1095;52521;492
1,23768E+18;349,3425191;3,004477903;23,36963;21,05557;20,53819;20,1535;20,00162;7717;301;5;258;4,82581E+18;QSO;3,024112;4286;55499;756
1,23766E+18;173,1689323;58,18185485;21,10028;20,90006;20,92673;20,5966;20,8782;2826;301;6;253;9,20556E+18;QSO;1,690912;8176;57131;728
1,23768E+18;329,2695748;1,631100343;19,28166;18,29607;17,92479;17,80782;17,75676;7717;301;3;124;1,03191E+19;STAR;-0,000536741;9165;58048;900
1,23766E+18;141,360917;50,95743684;22,25964;19,99302;18,32274;17,75131;17,39186;2243;301;3;165;8,63625E+17;GALAXY;0,2879182;767;52252;219
1,23766E+18;248,9110281;49,13508511;22,79865;20,11609;18,5154;17,929;17,51391;4011;301;2;117;7,11232E+18;GALAXY;0,2625571;6317;56448;38
1,23767E+18;339,6420671;22,01376735;26,7127;22,21993;20,72542;19,82036;19,34679;4836;301;2;240;6,88959E+18;STAR;-0,000349109;6119;56181;751
1,23766E+18;226,4964508;33,18639018;17,10858;15,80253;15,35059;14,94626;15,13003;3919;301;1;152;3,27651E+18;STAR;-0,000174277;2910;54630;524
1,23766E+18;213,7349911;37,58168772;24,367;21,71391;21,47309;21,17775;20,89445;3919;301;1;77;5,30533E+18;QSO;2,983859;4712;55738;340
1,23768E+18;334,7950873;11,09128717;25,86532;21,79175;20,54565;19,80318;19,58664;7773;301;4;145;5,68821E+18;GALAXY;0,5583948;5052;55857;585
1,23768E+18;10,35000985;17,89538612;20,81117;20,50136;20,20842;19,79565;19,57928;7845;301;5;15;1,24E+19;QSO;1,969025;11040;58456;624
1,23768E+18;358,0570146;10,74611339;23,93729;22,05317;20,40976;19,57601;19,09911;7880;301;5;30;6,93464E+18;GALAXY;0,4358328;6159;56214;815
1,23766E+18;132,8786642;27,15777911;26,48171;22,99663;21,70288;20,63826;19,94538;4469;301;3;150;1,25225E+19;GALAXY;0,6060011;11122;58437;837
1,23766E+18;2,607573393;33,6725359;26,23318;21,85742;20,35633;19,36547;18,99312;3356;301;5;17;8,02322E+18;GALAXY;0,5035697;7126;56568;221
1,23766E+18;212,3597296;48,42698631;21,6357;21,5343;21,34751;21,16879;21,33389;3838;301;2;93;9,56926E+18;QSO;1,675517;8499;57431;870
1,23768E+18;349,9905738;31,99371621;22,06586;20,52057;20,01528;19,86966;19,85381;8149;301;4;198;8,74283E+18;STAR;-0,000295708;7765;58047;775
1,23768E+18;328,7203236;27,44261627;23,15472;21,31782;21,588;21,41499;18,34904;8149;301;4;71;8,60765E+18;STAR;-0,000472188;7645;57573;540
1,23765E+18;232,9180252;54,51752106;20,38967;18,50945;17,65908;17,23257;16,9508;1345;301;2;532;6,91317E+17;GALAXY;0,1428887;614;53437;54
1,23767E+18;18,47709618;0,398046293;22,37395;20,90088;19,56963;18,81935;18,37379;4858;301;4;478;1,21724E+18;STAR;2,16E-05;1081;52531;506
1,23767E+18;18,66111097;0,316699244;24,81061;22,78231;21,99745;21,54642;20,90852;4858;301;4;479;9,89579E+18;QSO;6,586975;8789;57358;931
